sales_date,daily_revenue,running_revenue
2025-08-21,14219.74,10994845.44
2025-08-23,20318.11,11015163.54
2025-08-25,13848.74,11029012.28
2025-08-26,544.57,11029556.85
2025-08-27,4746.08,11034302.93
2025-08-28,23803.32,11058106.25
2025-08-31,37700.89,11095807.14
2025-09-01,8813.05,11104620.19
2025-09-04,13665.3,11118285.48
2025-09-05,4513.3,11122798.79
2025-09-08,11719.29,11134518.08
2025-09-12,25077.3,11159595.38
2025-09-13,23416.76,11183012.14
2025-09-20,2143.44,11185155.58
2025-09-23,1710.43,11186866.01
2025-09-25,15801.24,11202667.25
2025-09-27,7967.14,11210634.39
2025-09-30,7461.67,11218096.06
2025-10-06,7695.78,11225791.84
2025-10-09,9286.58,11235078.42
2025-10-12,6017.19,11241095.61
2025-10-27,6006.45,11247102.06
2025-10-29,7239.4,11254341.46
2025-11-02,8397.32,11262738.78
2025-11-04,28695.41,11291434.19
2025-11-05,11796.87,11303231.06
2025-11-07,28313.48,11331544.55
2025-11-09,22538.15,11354082.69
2025-11-10,23007.41,11377090.1
2025-11-11,9869.0,11386959.1
2025-11-15,9371.5,11396330.59
2025-11-16,26908.91,11423239.5
2025-11-18,34170.09,11457409.6
2025-11-26,7822.77,11465232.37
2025-11-28,40337.17,11505569.54
2025-11-30,7047.8,11512617.34
2025-12-01,36489.71,11549107.05
2025-12-02,1804.19,11550911.24
2025-12-03,11032.41,11561943.65
2025-12-08,402.45,11562346.1
2025-12-09,19909.88,11582255.99
2025-12-11,480.99,11582736.98
2025-12-14,15964.36,11598701.34
2025-12-16,19872.62,11618573.95
2025-12-20,21630.26,11640204.21
2025-12-22,33168.11,11673372.32
2025-12-25,1792.09,11675164.41
2025-12-29,20165.46,11695329.87
2025-12-30,36954.14,11732284.01
2025-12-31,20863.73,11753147.74
2026-01-01,8043.95,11761191.69
2026-01-02,2625.58,11763817.27
2026-01-07,8695.95,11772513.23
2026-01-10,6024.86,11778538.09
2026-01-12,6455.46,11784993.55
2026-01-14,18129.96,11803123.5
2026-01-15,4988.6,11808112.1
2026-01-16,4163.12,11812275.22
2026-01-20,16184.57,11828459.8
2026-01-21,19782.86,11848242.65
2026-01-28,15803.98,11864046.63
2026-01-30,2291.64,11866338.27
2026-02-02,11430.34,11877768.61
2026-02-04,15458.13,11893226.74
2026-02-06,8887.74,11902114.47
2026-02-10,3039.7,11905154.17
2026-02-11,9942.54,11915096.71
2026-02-13,373.82,11915470.53
2026-02-14,1469.21,11916939.74
2026-02-15,1964.72,11918904.46
2026-02-20,2095.92,11921000.37
2026-02-21,14577.08,11935577.45
2026-02-23,8213.02,11943790.47
2026-02-24,28404.84,11972195.31
2026-02-26,8426.37,11980621.68
2026-03-01,4023.63,11984645.31
2026-03-07,33388.78,12018034.09
2026-03-12,19052.94,12037087.03
2026-03-14,9811.13,12046898.16
2026-03-15,10697.11,12057595.27
2026-03-19,292.64,12057887.91
2026-03-21,18711.25,12076599.16
2026-03-22,3602.69,12080201.85
2026-03-23,748.47,12080950.32
2026-03-25,20611.81,12101562.13
2026-03-26,2499.7,12104061.83
2026-03-28,14558.88,12118620.71
2026-03-29,13465.76,12132086.47
2026-03-30,4942.05,12137028.53
2026-04-01,5500.78,12142529.31
2026-04-02,21459.17,12163988.48
2026-04-04,13967.04,12177955.52
2026-04-06,9076.48,12187032.0
2026-04-13,7754.39,12194786.4
2026-04-17,10598.76,12205385.16
2026-04-23,16235.83,12221620.98
2026-04-24,18767.42,12240388.4
2026-04-26,6282.61,12246671.02
2026-04-28,57174.7,12303845.72
2026-05-04,15175.03,12319020.74
2026-05-10,15099.7,12334120.45
2026-05-11,3944.96,12338065.41
2026-05-12,19841.94,12357907.35
2026-05-14,22635.25,12380542.6
2026-05-16,13806.4,12394349.0
2026-05-26,19538.98,12413887.98
2026-05-28,2901.37,12416789.35
2026-06-02,11958.97,12428748.32
2026-06-05,7408.41,12436156.73
2026-06-07,8814.27,12444971.0
2026-06-09,353.11,12445324.11
2026-06-10,42044.19,12487368.29
2026-06-11,393.16,12487761.46
2026-06-12,18873.0,12506634.46
2026-06-15,4294.26,12510928.73
2026-06-16,33421.7,12544350.43
2026-06-18,9600.43,12553950.86
2026-06-20,26137.41,12580088.27
2026-06-24,12318.34,12592406.61
2026-06-25,4997.76,12597404.38
2026-06-26,4214.16,12601618.53
2026-07-03,8536.14,12610154.68
2026-07-08,8468.41,12618623.08
2026-07-15,13426.94,12632050.02
2026-07-17,23135.07,12655185.09
2026-07-24,299.23,12655484.32
2026-07-25,6042.28,12661526.6
2026-07-26,31995.72,12693522.31
2026-07-28,10377.97,12703900.28
2026-08-02,12645.01,12716545.29
2026-08-03,3331.24,12719876.53
2026-08-06,16012.32,12735888.85
2026-08-10,1429574.25,14165463.11
