sales_date,daily_revenue,moving_average_7_day
2025-12-14,15964.36,12297.71
2025-12-16,19872.62,9923.84
2025-12-20,21630.26,12756.14
2025-12-22,33168.11,15918.38
2025-12-25,1792.09,16116.9
2025-12-29,20165.46,16153.41
2025-12-30,36954.14,21363.86
2025-12-31,20863.73,22063.77
2026-01-01,8043.95,20373.96
2026-01-02,2625.58,17659.01
2026-01-07,8695.95,14162.99
2026-01-10,6024.86,14767.67
2026-01-12,6455.46,12809.1
2026-01-14,18129.96,10119.93
2026-01-15,4988.6,7852.05
2026-01-16,4163.12,7297.65
2026-01-20,16184.57,9234.65
2026-01-21,19782.86,10818.49
2026-01-28,15803.98,12215.51
2026-01-30,2291.64,11620.67
2026-02-02,11430.34,10663.59
2026-02-04,15458.13,12159.23
2026-02-06,8887.74,12834.18
2026-02-10,3039.7,10956.34
2026-02-11,9942.54,9550.58
2026-02-13,373.82,7346.27
2026-02-14,1469.21,7228.78
2026-02-15,1964.72,5876.55
2026-02-20,2095.92,3967.66
2026-02-21,14577.08,4780.43
2026-02-23,8213.02,5519.47
2026-02-24,28404.84,8156.94
2026-02-26,8426.37,9307.31
2026-03-01,4023.63,9672.22
2026-03-07,33388.78,14161.38
2026-03-12,19052.94,16583.81
2026-03-14,9811.13,15902.96
2026-03-15,10697.11,16257.83
2026-03-19,292.64,12241.8
2026-03-21,18711.25,13711.07
2026-03-22,3602.69,13650.93
2026-03-23,748.47,8988.03
2026-03-25,20611.81,9210.73
2026-03-26,2499.7,8166.24
2026-03-28,14558.88,8717.92
2026-03-29,13465.76,10599.79
2026-03-30,4942.05,8632.77
2026-04-01,5500.78,8903.92
2026-04-02,21459.17,11862.59
2026-04-04,13967.04,10913.34
2026-04-06,9076.48,11852.88
2026-04-13,7754.39,10880.81
2026-04-17,10598.76,10471.24
2026-04-23,16235.83,12084.64
2026-04-24,18767.42,13979.87
2026-04-26,6282.61,11811.79
2026-04-28,57174.7,17984.31
2026-05-04,15175.03,18855.53
2026-05-10,15099.7,19904.86
2026-05-11,3944.96,18954.32
2026-05-12,19841.94,19469.48
2026-05-14,22635.25,20022.03
2026-05-16,13806.4,21096.85
2026-05-26,19538.98,15720.32
2026-05-28,2901.37,13966.94
2026-06-02,11958.97,13518.27
2026-06-05,7408.41,14013.05
2026-06-07,8814.27,12437.66
2026-06-09,353.11,9254.5
2026-06-10,42044.19,13288.47
2026-06-11,393.16,10553.35
2026-06-12,18873.0,12835.02
2026-06-15,4294.26,11740.06
2026-06-16,33421.7,15456.24
2026-06-18,9600.43,15568.55
2026-06-20,26137.41,19252.02
2026-06-24,12318.34,15005.47
2026-06-25,4997.76,15663.27
2026-06-26,4214.16,13569.15
2026-07-03,8536.14,14175.14
2026-07-08,8468.41,10610.38
2026-07-15,13426.94,11157.02
2026-07-17,23135.07,10728.12
2026-07-24,299.23,9011.1
2026-07-25,6042.28,9160.32
2026-07-26,31995.72,13129.11
2026-07-28,10377.97,13392.23
2026-08-02,12645.01,13988.89
2026-08-03,3331.24,12546.64
2026-08-06,16012.32,11529.11
2026-08-10,1429574.25,215711.26
